areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,2020-05-20,851
K02000001,United Kingdom,overview,2020-05-19,881
K02000001,United Kingdom,overview,2020-05-18,850
K02000001,United Kingdom,overview,2020-05-17,793
K02000001,United Kingdom,overview,2020-05-16,814
K02000001,United Kingdom,overview,2020-05-15,871
K02000001,United Kingdom,overview,2020-05-14,909
K02000001,United Kingdom,overview,2020-05-13,966
K02000001,United Kingdom,overview,2020-05-12,983
K02000001,United Kingdom,overview,2020-05-11,1029
K02000001,United Kingdom,overview,2020-05-10,916
K02000001,United Kingdom,overview,2020-05-09,944
K02000001,United Kingdom,overview,2020-05-08,910
